,CURROPER
54943,True
50920,True
52827,True
66726,True
69515,True
75429,True
61210,True
61155,True
74881,True
72628,True
72234,True
61700,True
71506,True
68738,True
54300,True
53705,True
59560,True
48688,True
54339,False
63572,True
58980,True
57638,True
59349,True
50879,True
68064,True
77347,True
65989,True
53556,True
77459,True
48978,True
71884,True
48304,True
70490,True
60821,False
64671,True
54942,True
72426,True
52194,True
78440,True
60522,False
55872,True
66787,True
55281,True
54320,True
62652,True
59811,True
74873,True
49463,True
51771,True
51129,True
77012,True
48645,True
54831,True
55878,True
59508,True
52092,True
67110,True
68305,True
70175,True
63191,True
57495,True
63567,True
72353,True
53514,True
69624,True
61301,True
69023,True
66324,True
53529,False
58943,True
68566,True
55581,True
69616,True
74068,True
65809,True
67381,True
67311,True
60466,True
77785,True
78444,True
75601,True
60303,True
49935,True
51619,True
59799,True
55654,True
61744,True
59542,True
72575,True
58422,True
60274,True
56341,False
72727,True
64498,True
65383,True
62262,True
68933,True
48921,True
71236,True
63342,True
69448,False
51138,True
74771,True
71079,True
75083,True
67226,True
72260,True
54936,True
64430,True
56146,True
56441,True
51291,True
60226,True
72424,True
76565,True
61207,True
72679,True
53739,True
77528,True
59789,False
53188,True
67697,True
56921,True
48949,True
74940,True
72467,True
74914,True
62728,True
65428,True
77529,True
62102,True
72623,True
66732,True
56383,True
74660,True
75081,True
57640,True
51765,True
65726,True
55983,True
48618,False
67981,False
68560,False
68923,True
66540,True
63593,True
50625,True
49587,True
53144,True
60674,True
60671,True
75441,True
67852,True
58587,True
77628,True
51737,True
75220,True
72778,True
60775,True
53454,True
53295,False
64412,True
71644,True
78406,True
52527,False
60742,False
64839,True
65916,True
56004,True
67926,True
48621,True
73008,True
52002,True
74754,True
52645,True
62173,True
50326,True
61625,True
55914,True
69411,True
69592,True
73172,True
56238,True
59651,True
75955,True
64665,True
59880,True
60214,True
50837,True
69707,True
53898,False
64237,True
73290,True
75285,True
67220,True
63438,True
59935,True
75604,True
74822,True
55163,True
67994,False
60528,False
50537,True
72103,True
57963,True
66606,True
73259,True
72155,True
48877,True
59209,True
72749,True
70622,True
72031,True
69981,True
74035,True
74960,True
53901,True
68486,True
59782,True
71225,True
65237,True
61281,True
56737,True
48448,True
76768,True
53133,True
59397,True
53907,True
54740,True
58847,True
67044,True
74639,True
66089,True
69637,True
53227,True
72220,True
62249,True
60693,True
52537,False
68414,True
67575,True
56922,True
63677,True
66818,True
63056,True
75383,True
70252,True
64692,True
75589,True
50700,True
53263,True
52107,True
59048,True
68097,True
54566,True
72887,True
63478,True
67673,True
56502,True
63222,True
51245,True
75176,True
49235,False
73205,True
67884,True
76810,True
62069,True
62114,True
75017,True
54139,True
61362,True
67976,False
55297,True
57481,True
67835,True
60808,False
70567,True
55130,True
58399,True
69457,True
76835,True
76675,True
72050,True
77383,True
59162,True
76655,True
60084,True
51003,True
69854,False
72378,True
66669,True
68836,False
74014,True
77816,True
57180,True
62886,True
75340,True
64179,True
76184,True
74331,True
73628,True
67862,True
74499,False
59759,True
65441,True
72925,True
63919,True
53863,False
66682,True
78066,True
63408,True
73403,False
68436,True
51288,False
68334,True
77805,True
65781,True
55082,False
49245,True
72377,True
66163,True
68454,True
59058,True
49686,True
60970,True
76764,True
76651,True
56944,True
65938,True
77126,True
67849,True
51944,True
69971,True
53053,False
54401,True
67910,True
69224,True
68659,True
71525,False
51712,True
73031,True
64155,True
60817,True
57713,True
76417,True
76128,True
64100,True
62586,False
61779,True
57661,True
57686,True
51161,True
65463,True
74625,True
73497,True
54583,True
57633,True
53632,True
75011,True
55535,True
69680,True
53572,True
69802,False
67950,True
66422,True
77881,True
70788,True
52113,True
59093,True
65462,True
56886,True
77854,True
70300,True
68120,True
68429,True
61565,True
64391,True
53287,False
55978,True
73991,True
71095,True
58413,True
56722,True
53157,True
58929,True
50865,True
67446,True
69916,True
62054,True
66171,True
53619,True
76181,True
69949,True
78232,True
62460,True
53371,True
51153,True
61221,True
56300,True
60318,False
49046,True
57375,True
58817,True
52176,True
51650,True
76270,True
53824,True
55766,True
53117,True
51458,True
57090,False
59317,True
57165,True
76888,True
54125,False
78310,True
77206,True
75331,True
69817,False
68528,True
61583,False
48680,True
70986,True
58430,True
61393,True
76985,True
77749,True
77817,True
53072,False
48157,True
64969,True
64370,True
68734,True
73022,True
63289,True
54853,True
65857,True
66534,True
76185,True
66029,True
54440,True
61522,False
61673,True
54384,True
64165,True
71706,True
55394,True
55587,True
76744,True
72149,True
56420,True
48562,True
57635,True
62984,False
75563,True
62306,True
59107,True
63152,False
72047,True
71131,True
63684,True
59923,True
70943,True
52777,True
57406,True
68491,True
48486,True
67586,False
62240,True
62103,True
68698,True
67016,True
53536,False
72791,True
56857,True
57810,True
75031,True
56430,True
54029,True
58336,False
62872,True
74978,True
55683,True
74433,True
77546,True
69866,True
77340,True
71746,True
56907,True
53994,False
67299,True
67099,True
66213,True
52491,False
71908,True
67619,False
60848,True
74253,True
55081,False
77565,True
49206,True
61018,True
48932,True
55768,True
63420,True
78385,True
73201,True
